"JURISDICTION","LOCATION","AGE_GROUP","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","ECSTASY","NO_DRUGS_DETECTED","COUNT","YEAR"
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",25,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",55,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",9,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",3,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",158,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",8,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",60,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",5,2024
"NSW","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2024
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2024
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",3,2024
"NSW","Major Cities of Australia","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",3,2024
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2024
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2024
"NSW","Major Cities of Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2024
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",9,2024
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",12,2024
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",4,2024
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2024
"NSW","Outer Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",7,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",12,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",4,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2024
"NSW","Outer Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",17,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",35,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",3,2024
"NSW","Outer Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",14,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",3,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",24,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",12,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",1,2024
"NSW","Outer Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2024
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",14,2024
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",28,2024
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Outer Regional Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",7,2024
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",14,2024
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",25,2024
"NSW","Outer Regional Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",11,2024
"NSW","Outer Regional Australia","65 and over","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",2,2024
"NSW","Outer Regional Australia","65 and over","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2024
"NSW","Remote Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2024
"NSW","Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2024
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",9,2024
"NSW","Remote Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2024
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",3,2024
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",1,2024
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",7,2024
"NSW","Remote Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2024
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",2,2024
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",5,2024
"NSW","Remote Australia","40-64","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2024
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2024
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",3,2024
"NSW","Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",4,2024
"NSW","Unknown","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",2,2024
"NSW","Unknown","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",2,2024
"NSW","Unknown","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2024
"NSW","Unknown","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2024
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",3,2024
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2024
"NSW","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2024
"NSW","Unknown","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Unknown","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",3,2024
"NSW","Unknown","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Unknown","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Unknown","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",1,2024
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",2,2024
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2024
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2024
"NSW","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",2,2024
"NSW","Unknown","40-64","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Unknown","40-64","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2024
"NSW","Unknown","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",2,2024
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2024
"NSW","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",1,2024
"NSW","Unknown","65 and over","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",1,2024
"NSW","Very Remote Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",1,2024
"NSW","Very Remote Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Very Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",1,2024
"NSW","Very Remote Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2024
"NSW","Very Remote Australia","40-64","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",1,2024
"NSW","Very Remote Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",1,2024
"NT","Unknown","0-16","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",4,2024
"NT","Unknown","17-25","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",63,2024
"NT","Unknown","26-39","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",139,2024
"NT","Unknown","40-64","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",66,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",1,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","0-16","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",9,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",1,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",10,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",3,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",30,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",3,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",1,2024
"SA","Unknown","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",15,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",2,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",68,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",1,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",51,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",24,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",2,2024
"SA","Unknown","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",1,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",11,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",111,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",5,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",57,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",46,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","40-64","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",2,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",3,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",1,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",2,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",6,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","65 and over","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","Yes",1,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","No","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","No","Yes","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","No","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"SA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Yes","Yes","No",0,2024
"TAS","Unknown","Unknown","Yes","Indicator (Stage 1)","Not applicable","Not applicable","Not applicable","Not applicable",330,2024
"WA","Unknown","17-25","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2024
"WA","Unknown","26-39","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2024
"WA","Unknown","40-64","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2024
"WA","Unknown","65 and over","Yes","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",0,2024
"WA","Unknown","Unknown","No","Indicator (Stage 1)","No","No","No","No",2,2024
"WA","Unknown","Unknown","No","Indicator (Stage 1)","No","Yes","No","No",194,2024
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","No","No","No",402,2024
"WA","Unknown","Unknown","No","Indicator (Stage 1)","Yes","Yes","No","No",74,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","No",20,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","Yes",46,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","No","No","No",5,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","No","Yes","No","No",143,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","No","No","No",378,2024
"WA","Unknown","Unknown","No","Secondary Confirmatory (Stage 2)","Yes","Yes","No","No",80,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","No",71,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Yes",25,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","No",3,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","No",126,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","No",342,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","No",3,2024
"WA","Unknown","Unknown","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","No",102,2024
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",1,2024
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",3,2024
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",1,2024
"ACT","Major Cities of Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Not applicable","Not applicable",2,2024
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",2,2024
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",3,2024
"ACT","Major Cities of Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Not applicable","Not applicable",3,2024
"ACT","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","No","Not applicable","Not applicable",1,2024
"ACT","Major Cities of Australia","40-64","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Not applicable","Not applicable",2,2024
"NSW","Inner Regional Australia","0-16","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",1,2024
"NSW","Inner Regional Australia","0-16","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",1,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",22,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",65,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",8,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",29,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",6,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",10,2024
"NSW","Inner Regional Australia","17-25","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",4,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",9,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",17,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",3,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",63,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",4,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",7,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",1,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",20,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",3,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","No","Not applicable",2,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","No","Yes","Not applicable",1,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","No","Not applicable",11,2024
"NSW","Inner Regional Australia","17-25","Yes","Laboratory or Toxicology (Stage 3)","Yes","Yes","Yes","Not applicable",1,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","No","Not applicable","Not applicable",30,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",74,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","No","Yes","Not applicable","Not applicable",5,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",134,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","No","Not applicable","Not applicable",10,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",39,2024
"NSW","Inner Regional Australia","26-39","No","Indicator (Stage 1)","Yes","Yes","Not applicable","Not applicable",2,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",2,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","No","Not applicable",24,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","No","Yes","Not applicable",2,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",70,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",2,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","No","Not applicable",6,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","No","Yes","Yes","Not applicable",1,2024
"NSW","Inner Regional Australia","26-39","Yes","Laboratory or Toxicology (Stage 3)","Not applicable","Not applicable","Not applicable","Not applicable",2,2024
